NAME                                                                           VERSION                             TYPE                          
@babel-internal/runtime-integration-rollup                                     UNKNOWN                             npm                            
@babel-internal/runtime-integration-src                                        UNKNOWN                             npm                            
@babel-internal/runtime-integration-webpack-3                                  UNKNOWN                             npm                            
@babel-internal/runtime-integration-webpack-4                                  UNKNOWN                             npm                            
@babel-internal/runtime-integration-webpack-5                                  UNKNOWN                             npm                            
@babel/benchmark                                                               7.29.7                              npm                            
@babel/cli                                                                     7.29.7                              npm                            
@babel/code-frame                                                              7.29.7                              npm                            
@babel/compat-data                                                             7.29.7                              npm                            
@babel/core                                                                    7.29.7                              npm                            
@babel/eslint-parser                                                           7.29.7                              npm                            
@babel/eslint-plugin                                                           7.29.7                              npm                            
@babel/eslint-plugin-development                                               7.29.7                              npm                            
@babel/eslint-plugin-development-internal                                      7.29.7                              npm                            
@babel/eslint-shared-fixtures                                                  7.29.7                              npm                            
@babel/eslint-tests                                                            7.29.7                              npm                            
@babel/generator                                                               7.29.8                              npm                            
@babel/helper-annotate-as-pure                                                 7.29.7                              npm                            
@babel/helper-builder-react-jsx                                                7.29.7                              npm                            
@babel/helper-check-duplicate-nodes                                            7.29.7                              npm                            
@babel/helper-compilation-targets                                              7.29.7                              npm                            
@babel/helper-create-class-features-plugin                                     7.29.7                              npm                            
@babel/helper-create-regexp-features-plugin                                    7.29.7                              npm                            
@babel/helper-fixtures                                                         7.29.7                              npm                            
@babel/helper-globals                                                          7.29.7                              npm                            
@babel/helper-import-to-platform-api                                           7.29.7                              npm                            
@babel/helper-member-expression-to-functions                                   7.29.7                              npm                            
@babel/helper-module-imports                                                   7.29.7                              npm                            
@babel/helper-module-transforms                                                7.29.7                              npm                            
@babel/helper-optimise-call-expression                                         7.29.7                              npm                            
@babel/helper-plugin-test-runner                                               7.29.7                              npm                            
@babel/helper-plugin-utils                                                     7.29.7                              npm                            
@babel/helper-remap-async-to-generator                                         7.29.7                              npm                            
@babel/helper-replace-supers                                                   7.29.7                              npm                            
@babel/helper-simple-access                                                    7.29.7                              npm                            
@babel/helper-skip-transparent-expression-wrappers                             7.29.7                              npm                            
@babel/helper-string-parser                                                    7.29.7                              npm                            
@babel/helper-transform-fixture-test-runner                                    7.29.8                              npm                            
@babel/helper-validator-identifier                                             7.29.7                              npm                            
@babel/helper-validator-option                                                 7.29.7                              npm                            
@babel/helper-wrap-function                                                    7.29.7                              npm                            
@babel/helpers                                                                 7.29.7                              npm                            
@babel/node                                                                    7.29.7                              npm                            
@babel/parser                                                                  7.29.8                              npm                            
@babel/plugin-bugfix-firefox-class-in-computed-class-key                       7.29.7                              npm                            
@babel/plugin-bugfix-safari-class-field-initializer-scope                      7.29.7                              npm                            
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression  7.29.7                              npm                            
@babel/plugin-bugfix-safari-rest-destructuring-rhs-array                       7.29.7                              npm                            
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining                 7.29.7                              npm                            
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly                  7.29.7                              npm                            
@babel/plugin-codemod-object-assign-to-object-spread                           7.29.7                              npm                            
@babel/plugin-codemod-optional-catch-binding                                   7.29.7                              npm                            
@babel/plugin-external-helpers                                                 7.29.7                              npm                            
@babel/plugin-proposal-async-do-expressions                                    7.29.7                              npm                            
@babel/plugin-proposal-decorators                                              7.29.7                              npm                            
@babel/plugin-proposal-destructuring-private                                   7.29.7                              npm                            
@babel/plugin-proposal-discard-binding                                         7.29.7                              npm                            
@babel/plugin-proposal-do-expressions                                          7.29.7                              npm                            
@babel/plugin-proposal-export-default-from                                     7.29.7                              npm                            
@babel/plugin-proposal-function-bind                                           7.29.7                              npm                            
@babel/plugin-proposal-function-sent                                           7.29.7                              npm                            
@babel/plugin-proposal-import-attributes-to-assertions                         7.29.7                              npm                            
@babel/plugin-proposal-import-defer                                            7.29.7                              npm                            
@babel/plugin-proposal-import-wasm-source                                      7.29.7                              npm                            
@babel/plugin-proposal-optional-chaining-assign                                7.29.7                              npm                            
@babel/plugin-proposal-partial-application                                     7.29.7                              npm                            
@babel/plugin-proposal-pipeline-operator                                       7.29.7                              npm                            
@babel/plugin-proposal-throw-expressions                                       7.29.7                              npm                            
@babel/plugin-syntax-async-do-expressions                                      7.29.7                              npm                            
@babel/plugin-syntax-decorators                                                7.29.7                              npm                            
@babel/plugin-syntax-destructuring-private                                     7.29.7                              npm                            
@babel/plugin-syntax-do-expressions                                            7.29.7                              npm                            
@babel/plugin-syntax-explicit-resource-management                              7.29.7                              npm                            
@babel/plugin-syntax-export-default-from                                       7.29.7                              npm                            
@babel/plugin-syntax-flow                                                      7.29.7                              npm                            
@babel/plugin-syntax-function-bind                                             7.29.7                              npm                            
@babel/plugin-syntax-function-sent                                             7.29.7                              npm                            
@babel/plugin-syntax-import-assertions                                         7.29.7                              npm                            
@babel/plugin-syntax-import-attributes                                         7.29.7                              npm                            
@babel/plugin-syntax-import-defer                                              7.29.7                              npm                            
@babel/plugin-syntax-import-source                                             7.29.7                              npm                            
@babel/plugin-syntax-jsx                                                       7.29.7                              npm                            
@babel/plugin-syntax-module-blocks                                             7.29.7                              npm                            
@babel/plugin-syntax-optional-chaining-assign                                  7.29.7                              npm                            
@babel/plugin-syntax-partial-application                                       7.29.7                              npm                            
@babel/plugin-syntax-pipeline-operator                                         7.29.7                              npm                            
@babel/plugin-syntax-throw-expressions                                         7.29.7                              npm                            
@babel/plugin-syntax-typescript                                                7.29.7                              npm                            
@babel/plugin-transform-arrow-functions                                        7.29.7                              npm                            
@babel/plugin-transform-async-generator-functions                              7.29.7                              npm                            
@babel/plugin-transform-async-to-generator                                     7.29.7                              npm                            
@babel/plugin-transform-block-scoped-functions                                 7.29.7                              npm                            
@babel/plugin-transform-block-scoping                                          7.29.7                              npm                            
@babel/plugin-transform-class-properties                                       7.29.7                              npm                            
@babel/plugin-transform-class-static-block                                     7.29.7                              npm                            
@babel/plugin-transform-classes                                                7.29.7                              npm                            
@babel/plugin-transform-computed-properties                                    7.29.7                              npm                            
@babel/plugin-transform-destructuring                                          7.29.7                              npm                            
@babel/plugin-transform-dotall-regex                                           7.29.7                              npm                            
@babel/plugin-transform-duplicate-keys                                         7.29.7                              npm                            
@babel/plugin-transform-duplicate-named-capturing-groups-regex                 7.29.7                              npm                            
@babel/plugin-transform-dynamic-import                                         7.29.7                              npm                            
@babel/plugin-transform-explicit-resource-management                           7.29.7                              npm                            
@babel/plugin-transform-exponentiation-operator                                7.29.7                              npm                            
@babel/plugin-transform-export-namespace-from                                  7.29.7                              npm                            
@babel/plugin-transform-flow-comments                                          7.29.7                              npm                            
@babel/plugin-transform-flow-strip-types                                       7.29.7                              npm                            
@babel/plugin-transform-for-of                                                 7.29.7                              npm                            
@babel/plugin-transform-function-name                                          7.29.7                              npm                            
@babel/plugin-transform-instanceof                                             7.29.7                              npm                            
@babel/plugin-transform-jscript                                                7.29.7                              npm                            
@babel/plugin-transform-json-modules                                           7.29.7                              npm                            
@babel/plugin-transform-json-strings                                           7.29.7                              npm                            
@babel/plugin-transform-literals                                               7.29.7                              npm                            
@babel/plugin-transform-logical-assignment-operators                           7.29.7                              npm                            
@babel/plugin-transform-member-expression-literals                             7.29.7                              npm                            
@babel/plugin-transform-modules-amd                                            7.29.7                              npm                            
@babel/plugin-transform-modules-commonjs                                       7.29.7                              npm                            
@babel/plugin-transform-modules-systemjs                                       7.29.8                              npm                            
@babel/plugin-transform-modules-umd                                            7.29.7                              npm                            
@babel/plugin-transform-named-capturing-groups-regex                           7.29.7                              npm                            
@babel/plugin-transform-new-target                                             7.29.7                              npm                            
@babel/plugin-transform-nullish-coalescing-operator                            7.29.7                              npm                            
@babel/plugin-transform-numeric-separator                                      7.29.7                              npm                            
@babel/plugin-transform-object-assign                                          7.29.7                              npm                            
@babel/plugin-transform-object-rest-spread                                     7.29.7                              npm                            
@babel/plugin-transform-object-set-prototype-of-to-assign                      7.29.7                              npm                            
@babel/plugin-transform-object-super                                           7.29.7                              npm                            
@babel/plugin-transform-optional-catch-binding                                 7.29.7                              npm                            
@babel/plugin-transform-optional-chaining                                      7.29.7                              npm                            
@babel/plugin-transform-parameters                                             7.29.7                              npm                            
@babel/plugin-transform-private-methods                                        7.29.7                              npm                            
@babel/plugin-transform-private-property-in-object                             7.29.7                              npm                            
@babel/plugin-transform-property-literals                                      7.29.7                              npm                            
@babel/plugin-transform-property-mutators                                      7.29.7                              npm                            
@babel/plugin-transform-proto-to-assign                                        7.29.7                              npm                            
@babel/plugin-transform-react-constant-elements                                7.29.7                              npm                            
@babel/plugin-transform-react-display-name                                     7.29.7                              npm                            
@babel/plugin-transform-react-inline-elements                                  7.29.7                              npm                            
@babel/plugin-transform-react-jsx                                              7.29.7                              npm                            
